FWPUCLNT Trace Provider                  {5A1600D2-68E5-4DE7-BCF4-1C2D215FE0FE}
Microsoft-Windows-Graphics-DXGI          {03BBE5B8-C788-4D0B-B47E-5B5731398A89}
Microsoft-Windows-Kernel-KernelBase      {05F95EFE-7F75-49C7-A994-60A55CC09571}
Microsoft-Windows-Firewall-API           {0998DFB7-59D7-4E82-92CE-8A83E7C0BB3E}
Microsoft-Windows-App-Browser            {0BCA4784-8257-51A0-D9EC-24FE1FE4C90D}
Microsoft-Windows-DriverStore            {0E0FE12B-E926-44D2-8CF1-8A62A6D44036}
CombaseTraceLoggingProvider              {1AFF6089-E863-4D36-BDFD-3581F07440BE}
Microsoft-Windows-Shell-FileExplorer-Aggregate   {32980F26-C8F5-5767-6B26-635B3FA83C61}
Microsoft-Windows-Kernel-Base            {3C74AFB9-8D82-44E3-B52C-365DBF48382A}
Microsoft-Windows-Security-Mpr           {5EB60B36-6206-5538-E60A-0A7AF8A1E59D}
Microsoft-Windows-TlgAggregateInternal   {703FCC13-B66F-5868-DDD9-E2DB7F381FFB}
Microsoft-Antimalware-Scan-Interface     {7A01E7FB-B6A4-4585-B1A8-EA2094ECB4C5}
Microsoft-Windows-Defender               {7AF898D7-7E0E-518D-5F96-B1E79239484C}
EventLogEvents                           {BF30465B-E93C-46FD-9CDF-F41C8904A01F}
Microsoft-Windows-Com-PoFAggregate       {C7E09E2A-C663-5399-AF79-2FCCD321D19A}
Microsoft-Windows-Winsock2               {D0F1A5C6-FC43-48AE-99BF-EFB1C38BE9D1}
Microsoft-Windows-Security-WSC           {E6B5B34F-BD4D-5CDC-8346-EF4DC6CF1927}
Microsoft-Windows-WinRTClassActivation   {F0558438-F56A-5987-47DA-040CA75AEF05}
Microsoft-Windows-User32                 {F25BCD2E-2690-55DC-3BC4-07B65B1B41C9}
Microsoft-Windows-Security-BCrypt        {F3A71A4B-6118-4257-8CCB-39A33BA059D4}
Microsoft-Web-Platform                   {FF32ADA1-5A4B-583C-889E-A3C027B201F5}
